Block	Column	Row	Name
4	5	10	HA
4	6	10	Biotin
4	7	10	HA
4	8	10	Biotin
4	9	10	0
4	10	10	0
4	11	10	0
4	12	10	0
4	1	11	Human IgG
4	2	11	Human IgM
4	3	11	Human IgG
4	4	11	Human IgM
4	5	11	Mouse IgG
4	6	11	Mouse IgM
4	7	11	Mouse IgG
4	8	11	Mouse IgM
4	9	11	Rabbit IgG
4	10	11	Rat IgG
4	11	11	Rabbit IgG
4	12	11	Rat IgG
4	1	12	Rat IgM
4	2	12	FLAG
4	3	12	Rat IgM
4	4	12	FLAG
4	5	12	HA
4	6	12	Biotin
4	7	12	HA
4	8	12	Biotin
4	9	12	0
4	10	12	0
4	11	12	0
4	12	12	0
4	1	13	Human IgG
4	2	13	Human IgM
4	3	13	Human IgG
4	4	13	Human IgM
4	5	13	Mouse IgG
4	6	13	Mouse IgM
4	7	13	Mouse IgG
4	8	13	Mouse IgM
4	9	13	Rabbit IgG
4	10	13	Rat IgG
4	11	13	Rabbit IgG
4	12	13	Rat IgG
4	1	14	0
4	2	14	0
4	3	14	0
4	4	14	0
4	5	14	0
4	6	14	0
4	7	14	0
4	8	14	0
4	9	14	0
4	10	14	0
4	11	14	0
4	12	14	0
5	1	1	0
5	2	1	0
5	3	1	0
5	4	1	0
5	5	1	0
5	6	1	0
5	7	1	0
5	8	1	0
5	9	1	0
5	10	1	0
5	11	1	0
5	12	1	0
5	1	2	carbsynthe_1388
5	2	2	carbsynthe_1395
5	3	2	carbsynthe_1388
5	4	2	carbsynthe_1395
5	5	2	0
5	6	2	0
5	7	2	0
5	8	2	0
5	9	2	0
5	10	2	0
5	11	2	0
5	12	2	0
5	1	3	carbsynthe_1245
5	2	3	carbsynthe_1269
5	3	3	carbsynthe_1245
5	4	3	carbsynthe_1269
5	5	3	carbsynthe_1316
5	6	3	carbsynthe_1411
5	7	3	carbsynthe_1316
5	8	3	carbsynthe_1411
5	9	3	carbsynthe_1358
5	10	3	carbsynthe_1370
5	11	3	carbsynthe_1358
5	12	3	carbsynthe_1370
5	1	4	carbsynthe_1388
5	2	4	carbsynthe_1395
5	3	4	carbsynthe_1388
5	4	4	carbsynthe_1395
5	5	4	0
5	6	4	0
5	7	4	0
5	8	4	0
5	9	4	0
5	10	4	0
5	11	4	0
5	12	4	0
5	1	5	carbsynthe_1245
5	2	5	carbsynthe_1269
5	3	5	carbsynthe_1245
5	4	5	carbsynthe_1269
5	5	5	carbsynthe_1316
5	6	5	carbsynthe_1411
5	7	5	carbsynthe_1316
5	8	5	carbsynthe_1411
5	9	5	carbsynthe_1358
5	10	5	carbsynthe_1370
5	11	5	carbsynthe_1358
5	12	5	carbsynthe_1370
5	1	6	carbsynthe_1388
5	2	6	carbsynthe_1395
5	3	6	carbsynthe_1388
5	4	6	carbsynthe_1395
5	5	6	0
5	6	6	0
5	7	6	0
5	8	6	0
5	9	6	0
5	10	6	0
5	11	6	0
5	12	6	0
5	1	7	carbsynthe_1245
5	2	7	carbsynthe_1269
5	3	7	carbsynthe_1245
5	4	7	carbsynthe_1269
5	5	7	carbsynthe_1316
5	6	7	carbsynthe_1411
5	7	7	carbsynthe_1316
5	8	7	carbsynthe_1411
5	9	7	carbsynthe_1358
5	10	7	carbsynthe_1370
5	11	7	carbsynthe_1358
5	12	7	carbsynthe_1370
5	1	8	carbSynthe_0914
5	2	8	carbSynthe_0741
5	3	8	carbSynthe_0914
5	4	8	carbSynthe_0741
5	5	8	carbSynthe_960
5	6	8	carbSynthe_988
5	7	8	carbSynthe_960
5	8	8	carbSynthe_988
5	9	8	carbSynthe_1074
5	10	8	carbSynthe_1094
5	11	8	carbSynthe_1074
5	12	8	carbSynthe_1094
5	1	9	carbSynthe_0839
5	2	9	carbSynthe_0612
5	3	9	carbSynthe_0839
5	4	9	carbSynthe_0612
5	5	9	carbSynthe_0628
5	6	9	carbSynthe_0646
5	7	9	carbSynthe_0628
5	8	9	carbSynthe_0646
5	9	9	carbSynthe_0697
5	10	9	carbSynthe_0779
5	11	9	carbSynthe_0697
5	12	9	carbSynthe_0779
5	1	10	carbSynthe_0914
5	2	10	carbSynthe_0741
5	3	10	carbSynthe_0914
5	4	10	carbSynthe_0741
5	5	10	carbSynthe_960
5	6	10	carbSynthe_988
5	7	10	carbSynthe_960
5	8	10	carbSynthe_988
5	9	10	carbSynthe_1074
5	10	10	carbSynthe_1094
5	11	10	carbSynthe_1074
5	12	10	carbSynthe_1094
5	1	11	carbSynthe_0839
5	2	11	carbSynthe_0612
5	3	11	carbSynthe_0839
5	4	11	carbSynthe_0612
5	5	11	carbSynthe_0628
5	6	11	carbSynthe_0646
5	7	11	carbSynthe_0628
5	8	11	carbSynthe_0646
5	9	11	carbSynthe_0697
5	10	11	carbSynthe_0779
5	11	11	carbSynthe_0697
5	12	11	carbSynthe_0779
5	1	12	carbSynthe_0914
5	2	12	carbSynthe_0741
5	3	12	carbSynthe_0914
5	4	12	carbSynthe_0741
5	5	12	carbSynthe_960
5	6	12	carbSynthe_988
5	7	12	carbSynthe_960
5	8	12	carbSynthe_988
5	9	12	carbSynthe_1074
5	10	12	carbSynthe_1094
5	11	12	carbSynthe_1074
5	12	12	carbSynthe_1094
5	1	13	carbSynthe_0839
5	2	13	carbSynthe_0612
5	3	13	carbSynthe_0839
5	4	13	carbSynthe_0612
5	5	13	carbSynthe_0628
5	6	13	carbSynthe_0646
5	7	13	carbSynthe_0628
5	8	13	carbSynthe_0646
5	9	13	carbSynthe_0697
5	10	13	carbSynthe_0779
5	11	13	carbSynthe_0697
5	12	13	carbSynthe_0779
5	1	14	0
5	2	14	0
5	3	14	0
5	4	14	0
5	5	14	0
5	6	14	0
5	7	14	0
5	8	14	0
5	9	14	0
5	10	14	0
5	11	14	0
5	12	14	0
6	1	1	0
6	2	1	0
